Generation,Best_Fitness,Best_X,Best_Y
1,9.043371232592289,1.0354177202504582,2.130663196631506
2,7.918732515564775,-1.010440381266978,-0.1987750415773002
3,4.317952637005476,-1.0425352643239616,1.093600802617419
4,2.1034213100420267,-1.0070201488239432,0.9742690670721763
5,2.1034213100420267,-1.0070201488239432,0.9742690670721763
6,2.1034213100420267,-1.0070201488239432,0.9742690670721763
7,2.1034213100420267,-1.0070201488239432,0.9742690670721763
8,2.1034213100420267,-1.0070201488239432,0.9742690670721763
9,1.942845658242593,1.043640897708054,-0.049388440460592875
10,1.9203997873747092,0.10001163323357604,-0.0008332619732236424
11,1.9203997873747092,0.10001163323357604,-0.0008332619732236424
12,0.7519816671108224,-0.0048137730112990385,-0.06176246782473638
13,0.7519816671108224,-0.0048137730112990385,-0.06176246782473638
14,0.7519816671108224,-0.0048137730112990385,-0.06176246782473638
15,0.7519816671108224,-0.0048137730112990385,-0.06176246782473638
16,0.7519816671108224,-0.0048137730112990385,-0.06176246782473638
17,0.7519816671108224,-0.0048137730112990385,-0.06176246782473638
18,0.7519816671108224,-0.0048137730112990385,-0.06176246782473638
19,0.7519816671108224,-0.0048137730112990385,-0.06176246782473638
20,0.7519816671108224,-0.0048137730112990385,-0.06176246782473638
21,0.7487517512462851,-0.01143979303678111,-0.060725477731274125
22,0.6827662333246813,-0.05020534259723719,-0.030733809176277965
23,0.6827662333246813,-0.05020534259723719,-0.030733809176277965
24,0.6827662333246813,-0.05020534259723719,-0.030733809176277965
25,0.6827662333246813,-0.05020534259723719,-0.030733809176277965
26,0.6827662333246813,-0.05020534259723719,-0.030733809176277965
27,0.6827662333246813,-0.05020534259723719,-0.030733809176277965
28,0.004036969899928522,-0.0043077764460427714,-0.0013388957347855168
29,0.004036969899928522,-0.0043077764460427714,-0.0013388957347855168
30,0.004036969899928522,-0.0043077764460427714,-0.0013388957347855168
31,0.004036969899928522,-0.0043077764460427714,-0.0013388957347855168
32,0.004036969899928522,-0.0043077764460427714,-0.0013388957347855168
33,0.004036969899928522,-0.0043077764460427714,-0.0013388957347855168
34,0.004036969899928522,-0.0043077764460427714,-0.0013388957347855168
35,0.004036969899928522,-0.0043077764460427714,-0.0013388957347855168
36,0.0010930761694822877,-0.000680334669395391,-0.0022465317786194705
37,0.0010930761694822877,-0.000680334669395391,-0.0022465317786194705
38,0.0010930761694822877,-0.000680334669395391,-0.0022465317786194705
39,0.0010930761694822877,-0.000680334669395391,-0.0022465317786194705
40,0.0010930761694822877,-0.000680334669395391,-0.0022465317786194705
41,0.0010930761694822877,-0.000680334669395391,-0.0022465317786194705
42,0.0010930761694822877,-0.000680334669395391,-0.0022465317786194705
43,0.00048217461443655907,0.0015395055910714921,-0.00024566939784062417
44,9.410806729093224e-05,0.0006098030889398762,-0.0003201477987132685
45,9.410806729093224e-05,0.0006098030889398762,-0.0003201477987132685
46,4.171337039338141e-06,-0.00013627612584331955,4.954332890084231e-05
47,4.171337039338141e-06,-0.00013627612584331955,4.954332890084231e-05
48,4.171337039338141e-06,-0.00013627612584331955,4.954332890084231e-05
49,4.171337039338141e-06,-0.00013627612584331955,4.954332890084231e-05
50,4.171337039338141e-06,-0.00013627612584331955,4.954332890084231e-05
51,4.171337039338141e-06,-0.00013627612584331955,4.954332890084231e-05
52,4.171337039338141e-06,-0.00013627612584331955,4.954332890084231e-05
53,4.171337039338141e-06,-0.00013627612584331955,4.954332890084231e-05
54,1.603059569532661e-06,6.813882686864048e-05,5.862900268333219e-05
55,3.133566650603825e-07,-1.8874769416644596e-05,3.497463025635525e-05
56,3.133566650603825e-07,-1.8874769416644596e-05,3.497463025635525e-05
57,3.133566650603825e-07,-1.8874769416644596e-05,3.497463025635525e-05
58,3.133566650603825e-07,-1.8874769416644596e-05,3.497463025635525e-05
59,1.8616027119833234e-07,7.940846877098256e-06,-2.9585269703251752e-05
60,1.8616027119833234e-07,7.940846877098256e-06,-2.9585269703251752e-05
61,5.5054147907185325e-08,-1.6599507890881934e-06,-1.6575472426220224e-05
62,1.55217705355426e-08,4.488325554391952e-06,7.621861524734304e-06
63,1.55217705355426e-08,4.488325554391952e-06,7.621861524734304e-06
64,1.0184571408444754e-08,-5.799921269449474e-06,-4.206720464372779e-06
65,1.0184571408444754e-08,-5.799921269449474e-06,-4.206720464372779e-06
66,1.0184571408444754e-08,-5.799921269449474e-06,-4.206720464372779e-06
67,1.0579626064100012e-10,-6.304411908586158e-07,-3.6851960944486957e-07
68,1.0579626064100012e-10,-6.304411908586158e-07,-3.6851960944486957e-07
69,1.0579626064100012e-10,-6.304411908586158e-07,-3.6851960944486957e-07
70,1.0579626064100012e-10,-6.304411908586158e-07,-3.6851960944486957e-07
71,1.0579626064100012e-10,-6.304411908586158e-07,-3.6851960944486957e-07
72,1.0579626064100012e-10,-6.304411908586158e-07,-3.6851960944486957e-07
73,1.0579626064100012e-10,-6.304411908586158e-07,-3.6851960944486957e-07
74,1.0579626064100012e-10,-6.304411908586158e-07,-3.6851960944486957e-07
75,1.0579626064100012e-10,-6.304411908586158e-07,-3.6851960944486957e-07
76,9.198686257150257e-11,6.466722254804223e-07,2.1325602199234882e-07
77,9.198686257150257e-11,6.466722254804223e-07,2.1325602199234882e-07
78,1.680433570072637e-12,4.27265931649146e-09,-9.195839982786078e-08
79,1.680433570072637e-12,4.27265931649146e-09,-9.195839982786078e-08
80,1.680433570072637e-12,4.27265931649146e-09,-9.195839982786078e-08
81,1.680433570072637e-12,4.27265931649146e-09,-9.195839982786078e-08
82,1.6058265828178264e-12,-8.102670708601389e-08,3.913894727586578e-08
83,3.659295089164516e-13,-5.564566597491851e-09,-4.254395245830274e-08
84,3.659295089164516e-13,-5.564566597491851e-09,-4.254395245830274e-08
85,1.6342482922482304e-13,-2.7396835997361364e-08,-9.57211295554762e-09
86,1.6342482922482304e-13,-2.7396835997361364e-08,-9.57211295554762e-09
87,1.6342482922482304e-13,-2.7396835997361364e-08,-9.57211295554762e-09
88,1.2789769243681803e-13,-5.259633874838459e-09,-2.471009459078131e-08
89,1.2789769243681803e-13,-5.259633874838459e-09,-2.471009459078131e-08
90,8.526512829121202e-14,-1.598888807375134e-08,-1.3409598827297956e-08
91,2.1316282072803006e-14,-1.3287932342107658e-09,1.0698547453161125e-08
92,7.105427357601002e-15,-5.259633874838459e-09,4.745586186902312e-09
93,3.552713678800501e-15,-3.5122970469284483e-09,3.5530484669800445e-09
94,3.552713678800501e-15,-3.5122970469284483e-09,3.5530484669800445e-09
95,3.552713678800501e-15,-3.5122970469284483e-09,3.5530484669800445e-09
96,3.552713678800501e-15,2.540975892486348e-09,-3.0577864357878978e-09
97,0.0,-2.191113758049844e-09,5.153665898262221e-10
98,0.0,-2.191113758049844e-09,5.153665898262221e-10
99,0.0,-7.807163713877013e-10,1.1234689915241575e-09
100,0.0,-7.807163713877013e-10,1.1234689915241575e-09
